"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.0290458333353095,1.94528130698018,0.071266433224082,0.300420456705615,14,34,47,TRUE,"Trait matching (Q2)"
-0.136954351167932,3.91565734054893,1.43726314534433,0.823838420317043,38,13,38,TRUE,"Trait matching (Q4)"
-0.0919312861967826,1.19655440095812,2.58291847188957,0.488725952093955,22,14,27,TRUE,"Trait matching (Q2)"
-0.101785968942924,1.24456748249941,4.64400726486929,0.911644522589631,29,21,46,TRUE,"Trait matching (Q4)"
-0.0492678340408481,2.29290715768002,1.49566621519625,0.161918815388344,32,26,51,TRUE,"Trait matching (Q1)"
-0.0750580844239823,0.069585049059242,0.965653400635347,0.470851584791671,32,30,57,TRUE,"Trait matching (Q2)"
-0.170779477331151,0.653611269081011,1.93595199962147,0.895923312508967,39,21,44,TRUE,"Trait matching (Q4)"
-0.0322402330424298,4.35420946101658,2.68114775186405,0.280553206033073,33,38,69,TRUE,"Trait matching (Q1)"
-0.0627774774813199,4.5918322110083,4.53050531679764,0.742583913868293,34,35,69,TRUE,"Trait matching (Q3)"
-0.129403171520521,0.285231668967754,3.03044614265673,0.368074216553941,27,24,49,TRUE,"Trait matching (Q2)"
-0.0328739043689291,2.84444884979166,3.67984324344434,0.504843205260113,26,39,65,TRUE,"Trait matching (Q2)"
-0.0687345483988489,4.03240009211004,3.24836460524239,0.862037059455179,26,29,55,TRUE,"Trait matching (Q4)"
-0.168295088694844,3.07248333469033,3.110447966028,0.959596795972902,43,13,44,TRUE,"Trait matching (Q4)"
-0.0800141782411861,1.32425865856931,1.89528718590736,0.394201673159841,27,30,51,TRUE,"Trait matching (Q2)"
-0.0392068519976611,4.41047616768628,3.36939210421406,0.636899947957136,32,47,79,TRUE,"Trait matching (Q3)"
-0.0485071151775608,1.13766763941385,2.76176133309491,0.141502051556017,49,44,80,TRUE,"Trait matching (Q1)"
-0.0196287697709846,3.13702323241159,4.29633182706311,0.62186501447577,10,32,42,TRUE,"Trait matching (Q3)"
-0.047823791791074,1.16952841519378,1.54900797875598,0.233918519469444,36,46,81,TRUE,"Trait matching (Q1)"
-0.0279225308799808,2.32232823618688,0.771430528257042,0.839275466755498,23,35,58,TRUE,"Trait matching (Q4)"
-0.134347835409597,3.8185112318024,3.42771286261268,0.958637647656724,41,34,70,TRUE,"Trait matching (Q4)"
-0.0654917611058438,0.207021196838468,0.842207156820223,0.190453730558511,16,14,28,TRUE,"Trait matching (Q1)"
-0.123869015206027,0.650298977270722,3.41141582350247,0.172184041247237,47,13,48,TRUE,"Trait matching (Q1)"
-0.0341061371888692,2.85491029033437,4.39548160647973,0.577642739342991,24,47,71,TRUE,"Trait matching (Q3)"
-0.0440919118387286,4.04999306425452,2.20162352197804,0.440838150912896,11,33,44,TRUE,"Trait matching (Q2)"
-0.104387969155288,2.91593848960474,3.41160524636507,0.123512554657646,46,15,49,TRUE,"Trait matching (Q1)"
-0.0263790742848554,1.81768239592202,0.747602855553851,0.167664265376516,28,44,67,TRUE,"Trait matching (Q1)"
-0.101164863506752,1.60429851850495,3.8162226008717,0.34056998557644,34,24,50,TRUE,"Trait matching (Q2)"
-0.0818952111975133,3.01589165814221,4.42625391413458,0.528107018233277,31,35,66,TRUE,"Trait matching (Q2)"
-0.0572764573699969,3.38318098569289,1.62536682793871,0.213313574797939,27,22,43,TRUE,"Trait matching (Q1)"
